player,season,season_type,team,age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,plus_minus
Nikola Jokic,2015-16,Regular Season,DEN,21,25,12,13,2.6,0.9,0.3,0.6,43.8,0,0,100,0.3,0.4,72.7,0.1,0.7,0.8,0.2,0.1,0.1,0,0.4,2.4,8,0,-0.4
Nikola Jokic,2016-17,Regular Season,DEN,22,34,13,21,2.7,1.7,0.6,1.3,47.7,0.1,0.4,30.8,0.4,0.5,72.2,0.3,0.8,1.1,0.3,0.1,0,0.1,0.3,3.6,21,2,0.9
Nikola Jokic,2017-18,Regular Season,DEN,23,39,20,19,3.7,1.6,0.5,1.3,37.3,0.1,0.4,28.6,0.6,0.6,88,0.3,0.8,1.1,0.5,0.4,0.1,0,0.6,3.6,23,5,0.3
Nikola Jokic,2018-19,Regular Season,DEN,24,44,31,13,3.2,2.2,0.8,1.6,48.6,0.1,0.3,40,0.4,0.5,82.6,0.3,0.6,0.9,0.7,0.5,0.1,0.1,0.4,4.4,32,8,2
Nikola Jokic,2018-19,Playoffs,DEN,24,7,3,4,6.2,1.1,0.4,2.3,18.8,0,0.9,0,0.3,0.6,50,0.3,1.4,1.7,2,0.7,0,0.1,0.7,5.9,7,4,0.6
Nikola Jokic,2019-20,Regular Season,DEN,25,43,29,14,3.8,3.4,1.2,2.4,51,0.1,0.5,28.6,0.9,1.1,82.6,0.4,0.8,1.2,0.6,0.2,0.1,0,0.4,5.9,29,9,2.2
Nikola Jokic,2019-20,Playoffs,DEN,25,11,6,5,3.3,2.7,0.9,1.5,62.5,0.4,0.5,66.7,0.5,0.6,85.7,0.3,0.5,0.7,0.2,0.1,0.1,0,0.3,4.1,6,0,1.6
Nikola Jokic,2020-21,Regular Season,DEN,26,31,18,13,4.7,4.2,1.5,3.1,49.5,0.2,0.6,26.3,1,1.2,88.9,0.5,1.1,1.5,0.7,0.5,0.3,0.1,0.6,7.8,23,4,1
Nikola Jokic,2020-21,Playoffs,DEN,26,3,3,0,5,4.3,1.7,4,41.7,0.3,1,33.3,0.7,0.7,100,1,1,2,2,0,0,0,0.3,9.7,2,0,5
Nikola Jokic,2021-22,Regular Season,DEN,27,36,22,14,3.9,4,1.3,2.6,49.5,0.1,0.3,18.2,1.4,1.8,79.7,0.6,0.9,1.5,0.6,0.5,0.2,0.2,0.5,7.3,34,9,0.8
Nikola Jokic,2021-22,Playoffs,DEN,27,3,1,2,4.7,6,2.3,3,77.8,0,0.3,0,1.3,1.3,100,0.3,0.3,0.7,0.3,0.3,0,0,0,7,2,0,-2.3
Nikola Jokic,2022-23,Regular Season,DEN,28,29,20,9,4,3.4,1,1.9,50.9,0.1,0.4,36.4,1.4,1.7,80,0.3,0.9,1.2,0.9,0.3,0.1,0.1,0.4,6.6,24,15,2.7
Nikola Jokic,2022-23,Playoffs,DEN,28,12,8,4,3,2.8,0.9,2.3,39.3,0.1,0.5,16.7,0.8,1.1,76.9,0.3,0.6,0.9,0.8,0.3,0.2,0,0.3,5.2,11,6,1.3
Nikola Jokic,2023-24,Regular Season,DEN,29,36,23,13,3.4,3.6,1.2,2.1,55.3,0.3,0.6,39.1,1,1.2,81.8,0.2,1.1,1.2,0.6,0.4,0.1,0,0.4,5.9,33,11,2.4
Nikola Jokic,2023-24,Playoffs,DEN,29,5,3,2,2.5,1.6,0.6,1.2,50,0,0,0,0.4,0.4,100,0.2,0.6,0.8,0.6,0.2,0,0,0.2,3.3,4,1,-1.6
Nikola Jokic,2024-25,Regular Season,DEN,30,33,19,14,4.2,4.2,1.5,2.7,56.2,0.2,0.4,42.9,1,1.4,72.3,0.5,1,1.5,1.1,0.5,0.1,0,0.5,7.7,29,18,1.8
Nikola Jokic,2024-25,Playoffs,DEN,30,8,4,4,4.4,3.3,0.9,2.4,36.8,0.3,1,25,1.3,2,62.5,0.3,0.6,0.9,0.6,0.4,0.4,0,0.3,6,7,1,-0.1
Nikola Jokic,2025-26,Regular Season,DEN,30,13,5,8,4.6,6.2,1.5,2.8,55.6,0.4,0.9,41.7,2.7,3.2,83.3,0.3,1.2,1.5,0.6,0.2,0.2,0.1,0.4,9.3,12,7,-1.8
Shai Gilgeous-Alexander,2018-19,Regular Season,LAC,20,28,19,9,2.5,0.9,0.3,0.6,50,0.1,0.3,28.6,0.1,0.2,80,0.1,0.2,0.3,0.2,0.1,0,0,0.2,1.6,1,0,0
Shai Gilgeous-Alexander,2018-19,Playoffs,LAC,20,2,2,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,3,0,0,3
Shai Gilgeous-Alexander,2019-20,Regular Season,OKC,21,41,27,14,4.1,2.3,0.7,1.2,58.3,0,0.1,33.3,0.9,1.1,77.8,0,0.7,0.7,0.2,0.3,0.2,0,0.2,4.1,5,0,2.5
Shai Gilgeous-Alexander,2019-20,Playoffs,OKC,21,4,3,1,5.5,2,0.8,2,37.5,0.5,1.5,33.3,0,0,0,0,0.3,0.3,0.5,0.5,0,0,0,2.6,1,0,3
Shai Gilgeous-Alexander,2020-21,Regular Season,OKC,22,15,11,4,3.4,4.7,1.3,2.5,51.4,0.3,0.8,41.7,1.9,2.3,80,0.1,0.5,0.6,0.6,0.3,0.1,0.1,0.2,6.6,2,0,1.9
Shai Gilgeous-Alexander,2021-22,Regular Season,OKC,23,25,11,14,3.5,3,1.1,2.4,44.3,0.2,0.8,21.1,0.7,1,72,0.1,0.6,0.7,0.6,0.3,0.1,0.1,0.4,5,2,0,-0.2
Shai Gilgeous-Alexander,2022-23,Regular Season,OKC,24,38,14,24,4,3.4,0.9,2.4,38.7,0.1,0.5,25,1.3,1.5,91.1,0.1,0.6,0.7,0.5,0.3,0.1,0.1,0.6,5.2,3,0,-0.7
Shai Gilgeous-Alexander,2023-24,Regular Season,OKC,25,34,23,11,3.2,3.3,1.1,1.8,58.1,0.1,0.4,35.7,1,1.1,89.7,0.1,0.4,0.6,0.6,0.2,0.2,0.1,0.1,5.5,5,0,2
Shai Gilgeous-Alexander,2023-24,Playoffs,OKC,25,5,3,2,4.2,4.2,1.4,3,46.7,0.2,0.6,33.3,1.2,1.2,100,0.2,0.8,1,1,1,0.2,0.4,1.2,7.7,2,0,0.4
Shai Gilgeous-Alexander,2024-25,Regular Season,OKC,26,22,15,7,2.8,3,0.8,1.7,47.4,0.3,0.6,53.8,1.1,1.3,82.8,0.1,0.3,0.4,0.3,0.1,0.1,0.1,0.2,4.6,1,0,1.5
Shai Gilgeous-Alexander,2024-25,Playoffs,OKC,26,10,6,4,3.5,4.6,1.4,2.8,50,0.2,0.7,28.6,1.6,1.7,94.1,0.1,0.3,0.4,0.5,0.4,0,0.1,0,5.7,3,0,1.7
Shai Gilgeous-Alexander,2025-26,Regular Season,OKC,27,15,11,4,5.2,7.9,2.3,4.7,49.3,0.5,1.7,26.9,2.8,3.3,85.7,0.1,0.7,0.8,0.9,0.1,0.2,0.1,0.7,11.1,0,0,5.1
Giannis Antetokounmpo,2013-14,Regular Season,MIL,19,19,4,15,3.2,0.6,0.1,0.3,40,0,0.1,0,0.4,0.8,53.3,0.1,0.5,0.5,0.2,0.1,0.2,0,0.1,1.9,0,0,-2.2
Giannis Antetokounmpo,2014-15,Regular Season,MIL,20,3,1,2,3.6,0,0,0.7,0,0,0,0,0,0,0,0.7,0.7,1.3,0,0.3,0,0.7,0.7,3.3,1,0,0.3
Giannis Antetokounmpo,2014-15,Playoffs,MIL,20,3,1,2,3.6,0,0,0.7,0,0,0,0,0,0,0,0.7,0.7,1.3,0,0.3,0,0.7,0.7,3.3,1,0,0.3
Giannis Antetokounmpo,2015-16,Regular Season,MIL,21,38,19,19,3.5,1.4,0.3,0.8,41.9,0,0.1,33.3,0.7,0.9,76.5,0.1,0.8,0.9,0.3,0.2,0,0.3,0.5,3.7,12,3,-0.4
Giannis Antetokounmpo,2016-17,Regular Season,MIL,22,37,20,17,3.5,2.3,0.7,1.7,43.5,0.1,0.2,25,0.8,1.1,68.3,0.2,0.8,1,0.5,0.3,0.1,0.3,0.4,5.2,18,2,-1.1
Giannis Antetokounmpo,2016-17,Playoffs,MIL,22,3,0,3,3.3,3,1,2,50,0.3,0.7,50,0.7,1,66.7,0,0.3,0.3,0.7,0,0,0,1,4.4,1,0,-0.7
Giannis Antetokounmpo,2017-18,Regular Season,MIL,23,41,23,18,3.7,2.8,1,1.7,58.6,0,0.2,11.1,0.7,1,73.2,0.2,0.9,1.2,0.4,0.2,0.2,0.2,0.5,5.8,27,0,0.7
Giannis Antetokounmpo,2017-18,Playoffs,MIL,23,4,2,2,4,5.3,1.8,2,87.5,0,0,0,1.8,2.5,70,0.8,0.3,1,0.8,0.3,0.5,0,1.3,8.8,3,0,-1
Giannis Antetokounmpo,2018-19,Regular Season,MIL,24,33,22,11,3.3,2.8,0.9,1.5,62.5,0,0.2,20,0.9,1.5,64.6,0.2,0.8,1,0.5,0.4,0.2,0.1,0.3,5.2,27,1,0.7
Giannis Antetokounmpo,2018-19,Playoffs,MIL,24,5,2,3,4.6,1.8,0.6,1.6,37.5,0.2,0.2,100,0.4,1,40,0.2,1.2,1.4,0.8,0.4,0,0.4,1,5.5,4,0,-1.2
Giannis Antetokounmpo,2019-20,Regular Season,MIL,25,21,16,5,2.6,3.3,1.3,2.4,54,0.1,0.4,25,0.6,1,65,0.5,1,1.5,0.1,0.5,0.2,0.1,0.8,5.7,21,0,2.6
Giannis Antetokounmpo,2019-20,Playoffs,MIL,25,3,0,3,2.1,1,0.3,0.7,50,0,0,0,0.3,0.3,100,0.7,0.3,1,0,0,0,0,0.3,2.2,3,0,-4.3
Giannis Antetokounmpo,2020-21,Regular Season,MIL,26,22,12,10,3.3,2.5,1,1.7,56.8,0.1,0.2,40,0.5,0.7,68.8,0.2,1,1.1,0.4,0.2,0,0.1,0.4,4.8,17,2,1.3
Giannis Antetokounmpo,2020-21,Playoffs,MIL,26,9,7,2,4.9,3.7,1.4,2.4,59.1,0,0.2,0,0.8,2.1,36.8,0.7,1.1,1.8,0.2,0.2,0.1,0.2,0.7,6.9,8,0,3.4
Giannis Antetokounmpo,2021-22,Regular Season,MIL,27,33,21,12,2.9,2.4,0.8,1.5,51,0.1,0.2,28.6,0.8,1.2,73.7,0.2,0.8,1,0.4,0.3,0.1,0.2,0.4,4.7,28,1,1.1
Giannis Antetokounmpo,2021-22,Playoffs,MIL,27,5,3,2,2.7,1,0.4,0.8,50,0,0,0,0.2,0.4,50,0.2,0.2,0.4,0,0.8,0.2,0.2,0.4,1.9,5,0,-0.8
Giannis Antetokounmpo,2022-23,Regular Season,MIL,28,28,21,7,3.2,2.5,0.8,2,37.5,0,0.2,16.7,0.9,1.3,72.2,0.3,1,1.3,0.7,0.4,0,0,0.5,4.6,26,3,0.6
Giannis Antetokounmpo,2022-23,Playoffs,MIL,28,2,0,2,6.2,5,2,4.5,44.4,0,0,0,1,3,33.3,0.5,3,3.5,1,1.5,0,0,0.5,9.2,2,1,-9
Giannis Antetokounmpo,2023-24,Regular Season,MIL,29,36,21,15,3.6,2.9,0.9,1.6,53.4,0.1,0.2,50,1.1,1.5,73.6,0.4,0.7,1.2,0.6,0.3,0.1,0.2,0.4,5.8,30,7,1.5
Giannis Antetokounmpo,2024-25,Regular Season,MIL,30,29,17,12,4,2.9,1,2.1,46.7,0.1,0.1,50,0.9,1.3,67.6,0.5,1.3,1.8,0.8,0.2,0,0.2,0.4,6.9,27,6,2.2
Giannis Antetokounmpo,2024-25,Playoffs,MIL,30,2,0,2,6.1,2.5,1,3,33.3,0,0.5,0,0.5,1.5,33.3,0.5,3,3.5,1.5,0.5,0,0.5,0.5,10,2,1,-2
Giannis Antetokounmpo,2025-26,Regular Season,MIL,31,16,9,7,3.9,2.9,0.9,2.2,42.9,0,0.2,0,1.1,1.5,70.8,0.6,0.9,1.5,0.6,0.6,0.3,0.1,0.4,6.2,9,0,0.4
Luka Doncic,2018-19,Regular Season,DAL,20,38,16,22,3.6,3.2,1.1,2.4,44.6,0.3,1.1,30,0.7,1,66.7,0.3,0.6,0.9,0.6,0.3,0.1,0.1,0.4,5.2,15,6,-0.4
Luka Doncic,2019-20,Regular Season,DAL,21,31,14,17,4.1,2.8,1,2.7,36.1,0.2,1.3,17.1,0.6,1,64.5,0.2,1.1,1.2,0.9,0.5,0.1,0,0.5,5.4,21,12,0.1
Luka Doncic,2019-20,Playoffs,DAL,21,2,1,1,6.4,6.5,2.5,4.5,55.6,1.5,2.5,60,0,0,0,0,2,2,1,1,0,0,0.5,9.4,1,1,-4
Luka Doncic,2020-21,Regular Season,DAL,22,29,17,12,3.1,2.8,1,2.2,47.6,0.2,0.8,26.1,0.5,0.6,83.3,0,0.9,0.9,0.7,0.2,0.1,0,0.2,5.1,15,7,0.2
Luka Doncic,2020-21,Playoffs,DAL,22,4,3,1,3,1.3,0.5,2.5,20,0.3,0.8,33.3,0,0,0,0,0.3,0.3,0.5,0.3,0.3,0,0,2.8,3,1,4.3
Luka Doncic,2021-22,Regular Season,DAL,23,29,21,8,3.2,2.7,1,2.1,48.4,0.2,0.9,23.1,0.4,0.5,85.7,0,0.6,0.6,0.5,0.2,0.1,0,0.2,4.3,19,4,0.9
Luka Doncic,2021-22,Playoffs,DAL,23,4,1,3,2.7,2.5,1,2.3,44.4,0.5,1,50,0,0,0,0,0.8,0.8,0.8,0,0.3,0,0.5,5.3,3,0,-2
Luka Doncic,2022-23,Regular Season,DAL,24,41,20,21,4.4,3.2,1.1,2.4,44,0.2,0.9,19.4,0.9,1.2,75,0.1,1.2,1.3,0.8,0.3,0.2,0.1,0.4,6.4,26,7,0.7
Luka Doncic,2023-24,Regular Season,DAL,25,28,20,8,3.4,2.5,0.8,1.6,45.7,0.3,0.8,40.9,0.7,0.9,76,0,0.7,0.7,0.9,0.2,0.1,0,0.2,5,23,9,2.3
Luka Doncic,2023-24,Playoffs,DAL,25,11,6,5,3.7,1.9,0.5,1.5,35.3,0.2,0.7,25,0.6,1,63.6,0.2,0.6,0.8,0.9,0.3,0.4,0,0.3,5.1,7,6,1
Luka Doncic,2024-25,Regular Season,LAL,26,24,13,11,3.3,1.9,0.7,1.8,39.5,0.3,0.9,31.8,0.2,0.3,57.1,0.1,0.5,0.6,0.6,0.2,0.1,0,0.3,3.5,11,4,1
Luka Doncic,2024-25,Playoffs,LAL,26,3,0,3,3.5,0.7,0.3,1.7,20,0,0.7,0,0,0,0,0,0.3,0.3,0.7,0,0,0,0.3,2.1,0,0,-6.7
Luka Doncic,2025-26,Regular Season,LAL,26,10,9,1,2.5,1.8,0.4,1.2,33.3,0.3,0.8,37.5,0.7,0.8,87.5,0,0.5,0.5,0.6,0.1,0.1,0,0.1,3.5,6,2,2.6
Victor Wembanyama,2023-24,Regular Season,SAS,20,35,12,23,3.6,2.4,0.7,1.9,38.5,0.1,0.8,18.5,0.8,1.1,76.3,0.3,0.9,1.3,0.3,0.4,0.1,0.5,0.3,5.8,24,0,-1.7
Victor Wembanyama,2024-25,Regular Season,SAS,21,22,10,12,4,2.5,0.8,2.1,37,0.2,1,23.8,0.7,0.9,84.2,0.2,0.9,1.1,0.3,0.3,0.2,0.2,0.3,5.3,14,1,-0.9
Victor Wembanyama,2025-26,Regular Season,SAS,22,14,8,6,2.9,3.3,1,2.1,46.7,0.3,0.6,44.4,1,1.5,66.7,0.1,0.6,0.7,0.2,0.3,0,0.1,0.3,4.6,7,1,2